sample,time,s1_ax,s1_ay,s1_az,s1_gx,s1_gy,s1_gz,s2_ax,s2_ay,s2_az,s2_gx,s2_gy,s2_gz
1460,1780506924,-0.998046875,0.183349609,-0.272705078,16.57251908,-11.74045802,43.38167939,0.207275391,-1.03515625,0.040527344,-4.854961832,28.54198473,-54.18320611
1461,1780506924,-0.960693359,0.149658203,-0.295654297,13.83969466,-8.633587786,37.90839695,0.19921875,-1.028076172,0.089111328,-5.633587786,22.48091603,-52.6870229
1462,1780506924,-0.973388672,0.078857422,-0.278320313,8.755725191,-5.312977099,30.55725191,0.201660156,-1.0625,0.112548828,-7.79389313,15.29007634,-52.63358779
1463,1780506924,-1.025146484,-0.165283203,-0.176757813,3,-3.847328244,16.39694656,0.156005859,-1.078613281,0.143310547,-7.396946565,8.687022901,-52.74045802
1464,1780506924,-0.974609375,-0.298583984,-0.252685547,2.496183206,0.824427481,-3.641221374,0.1015625,-1.045166016,0.132568359,-5.969465649,4.755725191,-49.16793893
1465,1780506924,-0.953857422,-0.845214844,-0.220214844,7.259541985,2.358778626,-35.85496183,0.083496094,-1.046630859,0.062988281,-5.480916031,2.152671756,-44.3740458
1466,1780506924,-1.059814453,-0.402099609,-0.326171875,16.81679389,2.984732824,-57.22900763,0.307861328,-0.947265625,-0.012207031,-8.229007634,1.366412214,-57.35877863
1467,1780506924,-1.067626953,-0.510009766,-0.331298828,14.02290076,7.694656489,-72.17557252,0.264648438,-0.948974609,-0.0078125,-13.26717557,1.328244275,-56.11450382
1468,1780506924,-1.068115234,-0.416015625,-0.385009766,13.98473282,8.65648855,-90.73282443,0.337646484,-1.077148438,0.043457031,-11.52671756,1.709923664,-55.44274809
1469,1780506924,-1.137207031,-0.317138672,-0.304443359,9.083969466,9.885496183,-101.8625954,0.407714844,-1.006347656,0.076171875,-14.09923664,-7.083969466,-54.83206107
1470,1780506924,-1.242919922,-0.269775391,-0.282714844,2.13740458,13.81679389,-112.351145,0.444091797,-1.041748047,0.106201172,-11.96946565,-15.61068702,-60.65648855
1471,1780506924,-1.268554688,-0.229736328,-0.23828125,-5.045801527,20.22137405,-118.8396947,0.453125,-1.024169922,0.120361328,-12.82442748,-21.79389313,-68.24427481
